wiek,płeć,lokalizacja,rodzaj_uslugi,czas_subskrypcji,czas_na_platformie,liczba_reklamacji,srednia_transakcji,srednie_wydatki,zalegle_platnosci,rabaty,porzucenie
30.0,1.0,,1.0,14.0,90.0,2.0,16.0,433.0,1.0,18.0,0
38.0,0.0,,,10.0,,1.0,8.0,406.0,2.0,,0
32.0,0.0,3.0,2.0,17.0,91.0,2.0,11.0,207.0,2.0,15.0,0
34.0,0.0,1.0,1.0,6.0,68.0,1.0,17.0,145.0,1.0,12.0,1
50.0,1.0,1.0,1.0,,36.0,0.0,,480.0,0.0,10.0,0
,1.0,1.0,3.0,9.0,,,10.0,174.0,,7.0,1
,0.0,1.0,,4.0,85.0,1.0,11.0,380.0,2.0,,1
43.0,1.0,2.0,2.0,21.0,96.0,1.0,16.0,388.0,2.0,7.0,0
,0.0,3.0,1.0,19.0,86.0,1.0,7.0,,0.0,19.0,1
56.0,0.0,3.0,1.0,18.0,24.0,0.0,9.0,369.0,1.0,5.0,1
34.0,,2.0,2.0,,38.0,,7.0,168.0,1.0,,0
42.0,0.0,,1.0,,50.0,4.0,18.0,,3.0,15.0,0
37.0,0.0,3.0,,,82.0,4.0,8.0,266.0,2.0,19.0,1
45.0,0.0,2.0,3.0,,82.0,3.0,6.0,242.0,0.0,7.0,0
38.0,0.0,1.0,,7.0,96.0,2.0,10.0,379.0,1.0,,1
45.0,1.0,3.0,2.0,,84.0,2.0,18.0,211.0,0.0,16.0,1
53.0,0.0,,3.0,19.0,20.0,1.0,14.0,313.0,,,0
,1.0,3.0,,5.0,73.0,,10.0,,1.0,,0
56.0,0.0,2.0,,19.0,,3.0,17.0,469.0,0.0,16.0,0
59.0,0.0,1.0,2.0,7.0,23.0,,16.0,128.0,2.0,13.0,0
,1.0,2.0,3.0,,65.0,4.0,12.0,107.0,0.0,9.0,0
49.0,0.0,3.0,1.0,20.0,34.0,4.0,19.0,153.0,3.0,12.0,0
20.0,1.0,,2.0,,,,15.0,137.0,1.0,18.0,0
50.0,1.0,1.0,1.0,20.0,97.0,1.0,9.0,306.0,,,1
23.0,1.0,2.0,,1.0,,0.0,19.0,,0.0,5.0,0
,1.0,1.0,2.0,8.0,,4.0,18.0,,1.0,15.0,0
23.0,,2.0,3.0,,,2.0,18.0,454.0,3.0,10.0,1
63.0,0.0,1.0,2.0,13.0,16.0,,16.0,355.0,3.0,12.0,0
34.0,0.0,1.0,2.0,,34.0,1.0,,,0.0,5.0,1
,1.0,,,2.0,,0.0,17.0,443.0,0.0,15.0,1
,0.0,2.0,2.0,16.0,45.0,,9.0,263.0,2.0,19.0,1
43.0,0.0,2.0,3.0,12.0,33.0,,6.0,466.0,,,1
52.0,0.0,2.0,1.0,,,0.0,7.0,360.0,3.0,8.0,0
51.0,0.0,1.0,2.0,21.0,,3.0,15.0,313.0,,8.0,0
44.0,1.0,3.0,3.0,15.0,87.0,4.0,17.0,252.0,1.0,10.0,1
,0.0,1.0,2.0,17.0,87.0,3.0,18.0,378.0,2.0,,0
36.0,1.0,2.0,2.0,20.0,17.0,4.0,10.0,370.0,,,0
64.0,0.0,2.0,3.0,2.0,83.0,,16.0,493.0,0.0,10.0,0
62.0,0.0,1.0,1.0,,27.0,4.0,5.0,,,15.0,1
54.0,1.0,,1.0,6.0,59.0,3.0,12.0,472.0,2.0,,1
29.0,0.0,2.0,2.0,11.0,58.0,3.0,5.0,,3.0,7.0,1
48.0,0.0,1.0,1.0,12.0,71.0,2.0,18.0,377.0,1.0,10.0,1
57.0,0.0,1.0,1.0,,42.0,2.0,17.0,339.0,3.0,15.0,0
45.0,0.0,3.0,,,41.0,3.0,12.0,,1.0,12.0,0
61.0,0.0,1.0,2.0,9.0,,3.0,18.0,320.0,1.0,10.0,1
62.0,1.0,3.0,2.0,4.0,71.0,2.0,13.0,231.0,1.0,16.0,1
19.0,0.0,2.0,3.0,,85.0,,,164.0,1.0,5.0,0
46.0,,3.0,1.0,,,2.0,11.0,175.0,2.0,13.0,0
63.0,0.0,3.0,1.0,5.0,91.0,3.0,,130.0,,8.0,1
42.0,,1.0,,22.0,38.0,3.0,6.0,354.0,0.0,17.0,0
60.0,1.0,2.0,3.0,2.0,87.0,1.0,,124.0,3.0,13.0,0
39.0,1.0,2.0,,,,4.0,12.0,440.0,3.0,17.0,0
48.0,1.0,3.0,2.0,4.0,13.0,3.0,16.0,,0.0,9.0,0
51.0,0.0,3.0,3.0,12.0,11.0,4.0,18.0,282.0,1.0,11.0,0
30.0,0.0,3.0,3.0,14.0,,1.0,14.0,459.0,0.0,,0
64.0,0.0,2.0,3.0,6.0,24.0,0.0,9.0,,0.0,10.0,0
64.0,1.0,2.0,2.0,13.0,78.0,3.0,,109.0,0.0,14.0,0
22.0,1.0,3.0,2.0,,67.0,4.0,10.0,223.0,,11.0,0
,1.0,,2.0,21.0,47.0,,9.0,,0.0,,1
46.0,1.0,1.0,1.0,8.0,89.0,,17.0,371.0,0.0,18.0,0
63.0,1.0,1.0,2.0,,27.0,4.0,,,3.0,16.0,1
48.0,0.0,2.0,1.0,16.0,,1.0,19.0,444.0,0.0,,0
24.0,0.0,3.0,,,51.0,1.0,,110.0,0.0,19.0,1
50.0,,,1.0,23.0,38.0,2.0,5.0,,2.0,8.0,1
46.0,0.0,1.0,2.0,,76.0,4.0,6.0,306.0,3.0,18.0,1
37.0,1.0,1.0,3.0,,14.0,2.0,13.0,366.0,2.0,13.0,0
18.0,0.0,2.0,,,51.0,2.0,7.0,260.0,1.0,5.0,0
27.0,1.0,1.0,1.0,5.0,83.0,3.0,19.0,160.0,3.0,15.0,0
,1.0,3.0,2.0,21.0,89.0,4.0,9.0,418.0,1.0,12.0,1
,1.0,3.0,2.0,5.0,57.0,2.0,11.0,435.0,,9.0,0
,0.0,3.0,,17.0,,0.0,8.0,,,,0
,1.0,1.0,2.0,19.0,37.0,4.0,13.0,489.0,,9.0,0
,1.0,2.0,2.0,6.0,76.0,0.0,,192.0,1.0,,1
24.0,0.0,1.0,1.0,16.0,,,14.0,,,,0
34.0,,2.0,1.0,23.0,95.0,3.0,15.0,366.0,,17.0,1
